"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","120090007","3","16","ug/m3 SC","15","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/02/2022","AQS","120090007","3","17","ug/m3 SC","16","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/03/2022","AQS","120090007","3","14","ug/m3 SC","13","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/04/2022","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/05/2022","AQS","120090007","3","14","ug/m3 SC","13","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/06/2022","AQS","120090007","3","16","ug/m3 SC","15","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/07/2022","AQS","120090007","3","17","ug/m3 SC","16","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/08/2022","AQS","120090007","3","14","ug/m3 SC","13","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/09/2022","AQS","120090007","3","22","ug/m3 SC","20","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/10/2022","AQS","120090007","3","16","ug/m3 SC","15","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/11/2022","AQS","120090007","3","14","ug/m3 SC","13","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/12/2022","AQS","120090007","3","15","ug/m3 SC","14","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/13/2022","AQS","120090007","3","15","ug/m3 SC","14","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/14/2022","AQS","120090007","3","16","ug/m3 SC","15","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/15/2022","AQS","120090007","3","17","ug/m3 SC","16","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/16/2022","AQS","120090007","3","17","ug/m3 SC","16","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/17/2022","AQS","120090007","3","14","ug/m3 SC","13","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/18/2022","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/19/2022","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/20/2022","AQS","120090007","3","13","ug/m3 SC","12","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/21/2022","AQS","120090007","3","18","ug/m3 SC","17","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/22/2022","AQS","120090007","3","16","ug/m3 SC","15","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/23/2022","AQS","120090007","3","14","ug/m3 SC","13","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/24/2022","AQS","120090007","3","14","ug/m3 SC","13","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/25/2022","AQS","120090007","3","19","ug/m3 SC","18","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/26/2022","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/27/2022","AQS","120090007","3","13","ug/m3 SC","12","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/28/2022","AQS","120090007","3","10","ug/m3 SC","9","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/29/2022","AQS","120090007","3","16","ug/m3 SC","15","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/30/2022","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"01/31/2022","AQS","120090007","3","11","ug/m3 SC","10","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"02/01/2022","AQS","120090007","3","12","ug/m3 SC","11","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"02/02/2022","AQS","120090007","3","15","ug/m3 SC","14","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
"02/03/2022","AQS","120090007","3","19","ug/m3 SC","18","Melbourne","1","100.0000","81102","PM10 Total 0-10um STP","239","37340","Palm Bay-Melbourne-Titusville, FL","12","Florida","009","Brevard","28.053611","-80.628611"
